school_name,domain
楚雄师范学院,cxtc.edu.cn
白城师范学院,bcsfxy.com
华北科技学院,ncist.edu.cn
池州学院,czu.edu.cn
太原工业学院,tit.edu.cn
济宁学院,jnxy.edu.cn
右江民族医学院,ymun.edu.cn
保定学院,bdu.edu.cn
景德镇学院,jdzu.edu.cn
忻州师范学院,xztc.edu.cn
蚌埠学院,bbc.edu.cn
广州航海学院,gzmtu.edu.cn
集宁师范学院,jntc.nm.cn
青海民族大学,qhmu.edu.cn
山东体育学院,sdpei.edu.cn
山西大同大学,sxdtdx.edu.cn
重庆警察学院,cqpc.edu.cn
兴义民族师范学院,qxntc.edu.cn
四川文理学院,sasu.edu.cn
西安医学院,xiyi.edu.cn
鄂尔多斯应用技术学院,oit.edu.cn
广西民族师范学院,gxnun.net
天津中德应用技术大学,tsguas.edu.cn
山西电子科技学院,xdwl-sxnu.cn
广东警官学院,gdppla.edu.cn
百色学院,bsuc.cn
绥化学院,shxy.edu.cn
哈尔滨体育学院,hrbipe.edu.cn
河南工学院,hait.edu.cn
苏州城市学院,szcu.edu.cn
新余学院,xyc.edu.cn
亳州学院,bzuu.edu.cn
吉林工程技术师范学院,jlenu.edu.cn
河套学院,hetaodaxue.com
黑河学院,hhhxy.cn
厦门医学院,xmmc.edu.cn
吕梁学院,llu.edu.cn
荆楚理工学院,jcut.edu.cn
成都体育学院,cdsu.edu.cn
贵州工程应用技术学院,gues.edu.cn
山西能源学院,sxeu.cn
南京工业职业技术大学,niit.edu.cn
石家庄学院,sjzc.edu.cn
福建江夏学院,fjjxu.edu.cn
兰州文理学院,luas.edu.cn
新疆工程学院,xjie.edu.cn
牡丹江医科大学,mdjmu.cn
广西科技师范学院,gxstnu.edu.cn
张家口学院,zjku.edu.cn
衡水学院,hsnc.edu.cn
黔南民族师范学院,sgmtu.edu.cn
四川民族学院,scun.edu.cn
保山学院,bsnc.cn
中央司法警官学院,cicp.edu.cn
赣东学院,gdc.edu.cn
山西工程技术学院,sxit.edu.cn
西安体育学院,xaipe.edu.cn
河池学院,hcnu.edu.cn
普洱学院,peuni.cn
河北北方学院,hebeinu.edu.cn
韶关学院,sgu.edu.cn
嘉应学院,jyu.edu.cn
兰州财经大学,lzcc.edu.cn
河北水利电力学院,hbwe.edu.cn
豫章师范学院,yuznu.edu.cn
山东政法学院,sdupsl.edu.cn
西安航空学院,xaau.edu.cn
北京警察学院,bjpc.edu.cn
汉江师范学院,hjnu.edu.cn
新乡学院,xxu.edu.cn
河北金融学院,hbfu.edu.cn
齐齐哈尔医学院,qmu.edu.cn
滇西科技师范学院,dxstnu.edu.cn
黑龙江工业学院,hljut.edu.cn
新疆理工学院,xjistedu.cn
昌吉学院,cjc.edu.cn
辽宁警察学院,lnpc.cn
太原学院,tyu.edu.cn
甘肃民族师范学院,gnun.edu.cn
山东石油化工学院,slcupc.edu.cn
唐山学院,tsc.edu.cn
河北工业职业技术大学,hbcit.edu.cn
邢台学院,xttc.edu.cn
昭通学院,zttc.edu.cn
沧州师范学院,caztc.edu.cn
广西职业师范学院,gxvnu.edu.cn
廊坊师范学院,lfnu.edu.cn
文山学院,wsu.edu.cn
山西工程科技职业大学,sxgkd.edu.cn
沈阳工程学院,sie.edu.cn
湖南财政经济学院,hufe.edu.cn
滇西应用技术大学,wyuas.edu.cn
河北科技工程职业技术大学,xpc.edu.cn
河北石油职业技术大学,cdpc.edu.cn
